employee_id,work_date,hours_worked,pto_hours
E001,2025-11-03,8.0,0
E001,2025-11-04,8.0,0
E001,2025-11-05,8.0,0
E001,2025-11-06,8.0,0
E001,2025-11-07,8.0,0
E002,2025-11-03,8.0,0
E002,2025-11-04,8.0,0
E002,2025-11-05,8.0,0
E002,2025-11-06,8.0,0
E002,2025-11-07,8.0,0
E004,2025-11-03,8.0,0
E004,2025-11-04,8.0,0
E004,2025-11-05,8.0,0
E004,2025-11-06,8.0,0
E004,2025-11-07,8.0,0
E005,2025-11-03,8.0,0
E005,2025-11-04,8.0,0
E005,2025-11-05,8.0,0
E005,2025-11-06,8.0,0
E005,2025-11-07,8.0,0
E011,2025-11-03,8.0,0
E011,2025-11-04,8.0,0
E011,2025-11-05,8.0,0
E011,2025-11-06,8.0,0
E011,2025-11-07,8.0,0
E007,2025-11-03,8.0,0
E007,2025-11-04,8.0,0
E007,2025-11-05,8.0,0
E007,2025-11-06,8.0,0
E007,2025-11-07,8.0,0
E008,2025-11-03,10.0,0
E008,2025-11-04,10.0,0
E008,2025-11-05,8.0,0
E008,2025-11-06,9.0,0
E008,2025-11-07,8.0,0
E009,2025-11-03,8.0,0
E009,2025-11-04,8.0,0
E009,2025-11-05,6.0,0
E009,2025-11-06,8.0,0
E009,2025-11-07,8.0,0
E010,2025-11-03,8.0,0
E010,2025-11-04,8.0,0
E010,2025-11-05,8.0,0
E010,2025-11-06,8.0,0
E010,2025-11-07,8.0,0
E010,2025-11-08,6.0,0
E001,2025-11-10,8.0,0
E001,2025-11-11,8.0,0
E001,2025-11-12,8.0,0
E001,2025-11-13,8.0,0
E001,2025-11-14,8.0,0
E002,2025-11-10,8.0,0
E002,2025-11-11,8.0,0
E002,2025-11-12,8.0,0
E002,2025-11-13,8.0,0
E002,2025-11-14,8.0,0
E004,2025-11-10,8.0,0
E004,2025-11-11,8.0,0
E004,2025-11-12,8.0,0
E004,2025-11-13,8.0,0
E004,2025-11-14,8.0,0
E005,2025-11-10,8.0,0
E005,2025-11-11,8.0,0
E005,2025-11-12,8.0,0
E005,2025-11-13,8.0,0
E005,2025-11-14,8.0,0
E011,2025-11-10,8.0,0
E011,2025-11-11,8.0,0
E011,2025-11-12,8.0,0
E011,2025-11-13,8.0,0
E011,2025-11-14,8.0,0
E007,2025-11-10,8.0,0
E007,2025-11-11,8.0,0
E007,2025-11-12,10.0,0
E007,2025-11-13,8.0,0
E007,2025-11-14,8.0,0
E008,2025-11-10,8.0,0
E008,2025-11-11,8.0,0
E008,2025-11-12,8.0,0
E008,2025-11-13,8.0,0
E008,2025-11-14,8.0,0
E008,2025-11-15,5.0,0
E009,2025-11-10,8.0,0
E009,2025-11-11,8.0,0
E009,2025-11-12,8.0,0
E009,2025-11-13,8.0,0
E009,2025-11-14,8.0,0
E010,2025-11-10,8.0,0
E010,2025-11-11,8.0,0
E010,2025-11-12,8.0,0
E010,2025-11-13,8.0,0
E010,2025-11-14,8.0,0
E001,2025-11-17,8.0,0
E001,2025-11-18,8.0,0
E001,2025-11-19,8.0,0
E001,2025-11-20,8.0,0
E001,2025-11-21,8.0,0
E002,2025-11-17,8.0,0
E002,2025-11-18,8.0,0
E002,2025-11-19,8.0,0
E002,2025-11-20,8.0,0
E002,2025-11-21,8.0,0
E004,2025-11-17,8.0,0
E004,2025-11-18,8.0,0
E004,2025-11-19,8.0,0
E004,2025-11-20,8.0,0
E004,2025-11-21,8.0,0
E005,2025-11-17,8.0,0
E005,2025-11-18,8.0,0
E005,2025-11-19,8.0,0
E005,2025-11-20,8.0,0
E005,2025-11-21,8.0,0
E011,2025-11-17,8.0,0
E011,2025-11-18,8.0,0
E011,2025-11-19,8.0,0
E011,2025-11-20,8.0,0
E011,2025-11-21,8.0,0
E007,2025-11-17,0,8.0
E007,2025-11-18,8.0,0
E007,2025-11-19,8.0,0
E007,2025-11-20,8.0,0
E007,2025-11-21,8.0,0
E008,2025-11-17,8.0,0
E008,2025-11-18,8.0,0
E008,2025-11-19,8.0,0
E008,2025-11-20,8.0,0
E008,2025-11-21,8.0,0
E009,2025-11-17,8.0,0
E009,2025-11-18,8.0,0
E009,2025-11-19,4.0,4.0
E009,2025-11-20,8.0,0
E009,2025-11-21,8.0,0
E010,2025-11-17,8.0,0
E010,2025-11-18,8.0,0
E010,2025-11-19,8.0,0
E010,2025-11-20,8.0,0
E010,2025-11-21,8.0,0
E010,2025-11-22,8.0,0
E001,2025-11-24,8.0,0
E001,2025-11-25,8.0,0
E001,2025-11-26,8.0,0
E001,2025-11-27,0,8.0
E001,2025-11-28,0,8.0
E002,2025-11-24,8.0,0
E002,2025-11-25,8.0,0
E002,2025-11-26,8.0,0
E002,2025-11-27,0,8.0
E002,2025-11-28,0,8.0
E004,2025-11-24,8.0,0
E004,2025-11-25,8.0,0
E004,2025-11-26,8.0,0
E004,2025-11-27,0,8.0
E004,2025-11-28,0,8.0
E005,2025-11-24,8.0,0
E005,2025-11-25,8.0,0
E005,2025-11-26,8.0,0
E005,2025-11-27,0,8.0
E005,2025-11-28,0,8.0
E011,2025-11-24,8.0,0
E011,2025-11-25,8.0,0
E011,2025-11-26,8.0,0
E011,2025-11-27,0,8.0
E011,2025-11-28,0,8.0
E007,2025-11-24,8.0,0
E007,2025-11-25,8.0,0
E007,2025-11-26,8.0,0
E007,2025-11-27,0,8.0
E007,2025-11-28,0,8.0
E008,2025-11-24,8.0,0
E008,2025-11-25,8.0,0
E008,2025-11-26,10.0,0
E008,2025-11-27,0,8.0
E008,2025-11-28,0,8.0
E009,2025-11-24,8.0,0
E009,2025-11-25,8.0,0
E009,2025-11-26,8.0,0
E009,2025-11-27,0,8.0
E009,2025-11-28,0,8.0
E010,2025-11-24,8.0,0
E010,2025-11-25,8.0,0
E010,2025-11-26,8.0,0
E010,2025-11-27,0,8.0
E010,2025-11-28,0,8.0
